HIP,中文星名,英文星名
43,王良增九,
124,王良增十,
145,壘壁陣十,
154,壘壁陣十二,
171,壁宿增五,
186,土公增一,
194,土公一,
301,八魁二,
330,王良增三,
355,八魁四,
443,壘壁陣十一,
476,壁宿增十,
531,王良增二,
635,壘壁陣增六,
664,壘壁陣增七,
677,壁宿二,Alpheratz
729,壁宿增十八,
746,王良一,Caph
765,火鳥四,
813,土公增二,
841,螣蛇增十一/螣蛇增十九,
910,八魁一,
1067,壁宿一,Algenib
1086,天廄增一,
1168,壁宿增十九,
1170,八魁六,
1196,土公增三,
1319,土公增四,
1340,壁宿增十一,
1354,王良增十一,
1366,天廄一,
1427,壁宿增十七,
1473,天廄三,
1499,天倉增十九,
1562,天倉一,
1595,壁宿增十六,
1599,鳥喙六,
1645,土公增五,
1686,天廄二,
1772,壁宿增十二,
1803,八魁五,
1948,壁宿增十三,
1960,王良增四,
1982,王良增十二,
2006,土公增七,
2021,蛇尾一,
2025,土公二,
2072,火鳥五,
2081,火鳥六,Ankaa
2100,土公增八,
2213,壁宿增廿一,
2219,壁宿增廿,
2224,壁宿增十五,
2343,土公增九,
2353,天溷增一,
2355,奎宿增一,
2415,壁宿增十四,
2472,火鳥八,
2474,傳舍增一,
2484,鳥喙四,
2505,王良五,
2548,土公增六,
2568,壁宿增廿二▂/壁宿增廿三,
2599,王良二,
2707,傳舍二,
2762,天溷增二,
2787,土公增十,
2854,王良增十三,
2912,奎宿六,
2920,附路,
2994,土公增十一,
3031,奎宿四,
3092,奎宿五,
3093,奎宿增三,
3138,奎宿增二,
3179,王良四,Shedir
3231,奎宿增廿二,
3245,火鳥七,
3300,閣道增二,
3330,鳥喙五,
3333,奎宿增廿一★,
3405,水委三,
3414,閣道增一,
3419,土司空,Diphda
3455,天溷四,
3504,閣道六,
3559,天溷三,
3572,少丞增一,
3685,奎宿增四,
3693,奎宿二,
3697,外屏增九,
3721,紫微左垣八 少丞,
3760,外屏增八,
3786,外屏一,
3801,閣道五,
3810,奎宿增五,
