key_hip,DEC,HIP,RA,Stellar_parallax,color_index,mag
73100_hip,49.62844897,73100,224.0960005,0.533,F7V,5.63
60781_hip,-58.99175634,60781,186.8702471,1.543,M4/M5III,5.38
117314_hip,-11.91112638,117314,356.8163022,1.068,K0III,5.74
9763_hip,76.11506048,9763,31.38145064,0.954,G8III,5.22
41299_hip,2.102209489,41299,126.3980741,1.528,K5III,5.74
117020_hip,10.33153622,117020,355.8431642,1.692,M2III,5.09
85667_hip,-1.062921706,85667,262.5991571,0.715,G8IV-V,5.31
17585_hip,67.20160533,17585,56.50391351,0.347,F0IV,5.79
21479_hip,-62.07715439,21479,69.18996817,1.5,M8e,5.59
59232_hip,-41.23160462,59232,182.2274531,-0.097,B3IV,5.51
6960_hip,-21.62933894,6960,22.40056313,0.028,A0V,5.11
29651_hip,-6.274776127,29651,93.71388683,1.319,K3III,3.99
35611_hip,-26.96383792,35611,110.2288159,-0.172,B3V,6
36496_hip,-54.39936495,36496,112.6288315,1.585,M1III,5.95
95073_hip,-0.892161005,95073,290.1486936,-0.041,B9III,5.46
72848_hip,19.15279846,72848,223.3490266,0.841,K2V,6
85751_hip,-56.92096415,85751,262.8470137,-0.045,B7II/III,5.99
71453_hip,-40.21157998,71453,219.1838886,-0.112,B8V,5.74
43105_hip,-56.76977618,43105,131.6772883,-0.169,B3Vne,4.5
4427_hip,60.71674038,4427,14.17721554,-0.046,B0IV:evar,2.15
52727_hip,-49.42025537,52727,161.6924091,0.901,G5III SB,2.69
7450_hip,-15.40018295,7450,23.99570321,1.226,K1III,5.41
72773_hip,-63.8098274,72773,223.1469041,0.66,F8II + A/F,5.91
30986_hip,-10.08151141,30986,97.54698363,1.373,K0,5.92
60308_hip,-56.37438547,60308,185.4892802,1.533,K4III + (F),5.91
41307_hip,-3.906423639,41307,126.4151345,-0.012,A0V,3.91
21547_hip,-2.473548235,21547,69.4005496,0.283,F0V,5.22
69038_hip,43.85445247,69038,211.9823168,1.493,M4.2III,5.13
95557_hip,-15.05325139,95557,291.5460086,0.007,B7IV,5.71
42834_hip,-49.82280194,42834,130.9178033,-0.197,B0IIIn,5.15
57851_hip,-65.20591037,57851,177.9634377,-0.123,B4V,4.89
47006_hip,52.05147688,47006,143.7059716,0.027,A2V,4.47
86731_hip,24.32782154,86731,265.8398504,0.683,G2IIIb,5.73
42795_hip,12.6808759,42795,130.8013719,0.435,A3V+...,5.62
103460_hip,-16.03153935,103460,314.4193531,0.18,A2/A3III,5.89
21278_hip,-6.738907649,21278,68.47803408,-0.128,B9p Si,5.71
51523_hip,-53.71548368,51523,157.8409252,0.5,F6V,4.89
81972_hip,-40.83967511,81972,251.1774719,-0.093,B3V,5.64
69269_hip,-16.30203004,69269,212.7103576,1.684,M1III,4.93
74785_hip,-9.382917398,74785,229.2517285,-0.071,B8V,2.61
69226_hip,25.09167693,69226,212.5997234,0.541,F9IVw,4.82
69673_hip,19.1824103,69673,213.9153001,1.239,K2IIIp,-0.05
115280_hip,38.1823262,115280,350.2219369,0.468,F5V,5.77
68895_hip,-26.6823611,68895,211.5929044,1.091,K2III,3.25
31362_hip,-32.71625457,31362,98.64721326,-0.085,B9V,5.62
73165_hip,-4.346462007,73165,224.2958315,0.318,F0V,4.47
16263_hip,-12.67473686,16263,52.40011329,0.171,A5III/IV,5.57
38957_hip,-49.24491185,38957,119.5601552,-0.18,B1Vp + B2,4.47
61136_hip,-59.42392246,61136,187.9180407,0.622,F5III,5.49
8882_hip,-42.49694992,8882,28.59180481,-0.06,A3V,5.12
56770_hip,43.62542859,56770,174.585708,0.348,F2II-III,5.56
78045_hip,-60.48247726,78045,239.0246422,0.087,A3V,5.76
32938_hip,-36.23026974,32938,102.9267523,0.183,A3V,5.94
33575_hip,-25.41415695,33575,104.6495796,-0.162,B2V,5.59
87194_hip,25.62286856,87194,267.204778,1.141,K2III,5.09
81377_hip,-10.56708997,81377,249.2897408,0.038,O9.5V,2.54
109577_hip,16.04055086,109577,332.9638793,0.951,K1III,5.93
25985_hip,-17.82228853,25985,83.18256633,0.211,F0Ib,2.58
22913_hip,15.04027834,22913,73.95897214,-0.085,B9V,5.79
30463_hip,-60.28132508,30463,96.05767977,-0.001,A0V,5.78
103882_hip,-38.63144716,103882,315.7414743,0.424,F3V,5.32
80911_hip,-34.70436598,80911,247.8455555,-0.168,B2III-IV,4.24
29490_hip,65.71842205,29490,93.21276259,1.344,K2II-III,5.36
116611_hip,18.40066705,116611,354.4866777,0.01,A1Vn,5.49
32809_hip,-17.08455489,32809,102.590704,1.435,K3III,5.77
56280_hip,-29.26102254,56280,173.0683495,0.54,F8V,4.93
53252_hip,-20.13873126,53252,163.3730487,0.48,F6V,5.23
100738_hip,-28.66326948,100738,306.3617841,1.101,G8II/III,5.86
100435_hip,24.44609928,100435,305.5142948,-0.09,B8IIIn,5.5
522_hip,-49.07519111,522,1.579897651,0.519,G1IV...,5.7
97774_hip,47.93179472,97774,298.0298587,-0.174,B2III,5.91
55687_hip,-10.85932331,55687,171.1524627,1.556,K5III,4.81
52922_hip,-59.32379277,52922,162.3518219,0.008,B9.5IV/V,5.85
65477_hip,54.98795767,65477,201.3064082,0.169,A5V SB,3.99
12832_hip,12.44576098,12832,41.23992306,0.234,A7III-IV,5.17
54463_hip,-58.9750369,54463,167.1474581,1.225,G0Ia0,3.93
99770_hip,36.80630231,99770,303.6334704,0.151,A2V,4.93
23015_hip,33.16609031,23015,74.24841152,1.49,K3IIvar,2.69
1921_hip,52.01991398,1921,6.06523854,-0.11,B5IV,5.58
87212_hip,50.78107501,87212,267.2678582,0.043,A2V,5.02
5589_hip,65.01885377,5589,17.92250739,-0.072,B9IV,5.57
61622_hip,-48.54130384,61622,189.4256808,0.049,A2V,3.85
89507_hip,-44.20646066,89507,273.9727079,0.962,G8/K0III,5.45
86201_hip,68.75796966,86201,264.2378837,0.43,F5V,4.77
31277_hip,14.15516326,31277,98.40068469,1.105,K2III:,5.57
50333_hip,13.72833434,50333,154.1697395,1.65,M1III,5.42
80343_hip,-20.03732689,80343,246.0257665,0.996,K0III,4.48
102014_hip,-33.43184305,102014,310.0826189,1.118,K1III,5.47
5296_hip,-9.785550385,5296,16.94253562,0.446,F7IV,5.71
68520_hip,1.544531852,68520,210.4116388,0.121,A3V,4.23
79790_hip,-50.06812187,79790,244.2538895,0.788,F9Ia,4.97
56127_hip,-3.00350053,56127,172.5787224,1.529,K4III,4.77
66563_hip,-29.56086741,66563,204.6752829,0.431,F3V,5.81
95352_hip,43.3881706,95352,290.9854239,0.924,G6.5IIIa,5.85
41075_hip,43.18813064,41075,125.70879,1.55,K5III,4.25
111925_hip,53.84592759,111925,340.0766967,0.946,B8V,5.94
40285_hip,-46.99162807,40285,123.4006436,-0.139,B2.5IV,5.14
16339_hip,-47.37512542,16339,52.6539753,0.116,A2V,5.98
90968_hip,-38.72598555,90968,278.3463868,-0.06,B9.5,5.67
102978_hip,-26.91913259,102978,312.9553791,1.633,K4III,4.12
40077_hip,-48.46199388,40077,122.7949561,-0.146,B3V,5.83
68670_hip,-56.2134338,68670,210.860439,1.207,K2III,5.93
89937_hip,72.73284302,89937,275.2640944,0.489,F7Vvar,3.55
99824_hip,25.59195704,99824,303.8162309,-0.181,B3V,4.79
78384_hip,-38.39670656,78384,240.030534,-0.206,B2.5IV,3.42
51839_hip,-78.60778577,51839,158.8671091,1.58,M0III,4.11
8993_hip,23.57732159,8993,28.96266553,1.185,K1III,5.76
15404_hip,50.22217425,15404,49.65725554,-0.073,B3V,5.16
117265_hip,66.78224457,117265,356.6530679,-0.049,B2IV,5.95
60855_hip,-39.04117207,60855,187.0936013,-0.073,B8/B9V,5.45
37504_hip,-72.60609812,37504,115.4552549,1.033,K0III,3.93
98412_hip,-35.27630546,98412,299.9340776,-0.15,B2.5IV,4.37
71182_hip,-52.67952225,71182,218.3748647,1.085,K0III,5.86
90096_hip,-12.01475532,90096,275.8006777,0.006,B5V,5.71
38375_hip,-21.17366159,38375,117.9292718,0.956,K0III,5.62
71568_hip,43.64213015,71568,219.5524538,1.481,K2III,5.74
104738_hip,-39.42492195,104738,318.2627873,0.46,F5V,5.25
78918_hip,-36.80228846,78918,241.6481032,-0.184,B2.5Vn,4.22
62786_hip,-39.6804307,62786,192.9872066,-0.098,B7/B8V,5.99
117447_hip,62.21451644,117447,357.2090474,0.67,A3Ia comp,5.43
78727_hip,-11.37294,78727,240.07283,0.46,F6IV,4.16
58948_hip,8.732985435,58948,181.3022482,0.967,G8III,4.12
92831_hip,41.60272255,92831,283.7174048,1.034,G8III,5.46
