color_index,DEC,HIP no.,RA,mag,恆星視差
G8...,-2.2991504639,72631,222.7544636812,4.93,0.988
A7V+...,-27.7694710921,47758,146.0503968584,4.78,0.516
K3III,-29.828103258,89931,275.2485073096,2.72,1.38
B9III,16.7891631547,98234,299.4393567367,5.54,-0.048
G5IV,-48.647758861,83216,255.1123346234,5.98,0.883
K0III,-23.7012352179,89153,272.9305540378,4.96,1.055
F5III...,4.2934814561,103569,314.7686524762,5.3,0.464
F2II,30.1892767707,87998,269.6256225003,4.41,0.38
K3III,-15.2639202328,37379,115.0967111309,4.98,1.543
A2V,-0.3094723079,91322,279.3998389251,5.76,0.067
F9V,37.9100001487,52139,159.781802278,5.84,0.595
G9III,2.9082878615,30728,96.8352121465,5.55,1.035
B2IV,-56.7350901024,100751,306.4119076345,1.94,-0.118
K3III,-33.3154826961,62360,191.6926195592,5.87,1.326
B9.5V,63.0722640476,18505,59.3560220822,4.95,-0.074
M1III,-16.3020300401,69269,212.7103575536,4.93,1.684
M2III,-70.1262666873,104755,318.3354562938,5.06,1.578
A1Vs,26.2956374188,76952,235.6856876371,3.81,0.02
K5III,-9.6975447143,103401,314.2251157751,5.49,1.474
G6III:,80.5248263097,105727,321.2064663406,5.97,0.95
B3V,-50.2306349631,60823,187.0099248332,3.91,-0.192
K0III:,46.0280551375,65550,201.569176106,5.88,0.985
B1.5IIIne,-71.475729079,63688,195.7722496194,5.93,0.002
F5IV,34.9317579932,57670,177.423812414,5.73,0.467
G5III,-67.6473032955,8928,28.7338809088,4.68,0.931
K3IIIvar,52.9880013165,97635,297.6571823736,5.03,1.286
A2V,59.8883672247,27971,88.7409477095,5.2,0.01
K4III,59.2939854205,72664,222.8601525274,5.48,1.369
A4II/III,-24.1693200235,80079,245.1590863109,4.55,0.758
M5IIIvar,43.9460885028,92862,283.8337555135,4.08,1.397
A2Vn,1.3050762801,88290,270.4383271832,4.42,0.046
F3V,-37.8629506556,78747,241.1534007719,5.91,0.409
B9.5III,-34.3846161104,90185,276.0429930114,1.79,-0.031
K2IIvar,1.8551338132,27750,88.1101608883,4.76,1.382
G9III,41.5491234438,112041,340.4002156894,5.93,0.998
G8III,33.3148334732,74666,228.8756791695,3.46,0.961
K4III,-76.3409640033,25918,82.9708982856,5.18,1.13
B9Vsp...,-29.1558961611,36258,111.9965025641,5.55,-0.048
M0III,-7.8315971676,12107,39.000201298,5.53,1.607
A7V,17.4441302591,20542,66.0240042344,4.8,0.154
K1III,-5.8248533458,75127,230.2817091906,5.54,1.047
K0III,48.6253221801,115152,349.874200942,5.44,1.014
K0III,-41.1793104173,106327,323.0244836436,5.29,1.109
G5V,-21.0518711184,91438,279.7225020438,5.85,0.673
B2IV/Ve,-26.7726673676,35037,108.7027254825,4.01,-0.15
F2IV,-25.052609953,8209,26.4114880403,5.29,0.395
K1III-IV,-60.2005496685,93163,284.6518665221,5.14,1.355
G8III-IV,6.1307979954,20268,65.1718574244,5.76,0.914
K5,23.0185265956,37428,115.2438261697,5.93,1.561
G5III,-73.1900711776,72833,223.3065574141,5.59,0.82
A3V,56.5063175497,20380,65.4658579417,5.91,0.112
B2.5III,-41.3361109175,89290,273.30290464,5.47,-0.155
M2II-IIIvar,28.0827890878,113881,345.9435730089,2.44,1.655
A2III,-49.1009961397,54746,168.1377382813,5.37,0.175
G8/K0III+..,-82.7189041994,107843,327.7273425837,5.27,0.756
K2III,-20.0426169357,11381,36.6467401187,5.89,1.247
B9p,42.566193099,77986,238.8774667823,5.73,-0.102
G0Vvar,7.353073188,77257,236.6108885505,4.42,0.604
B8...,-53.1000563951,42715,130.5791353132,5.49,-0.127
G8III,-47.3852773248,9095,29.2920019573,4.82,0.864
K2III,-77.0657244661,122,0.3987655417,4.78,1.254
B6V,49.5102940125,105282,319.8697938725,5.75,-0.119
K3III,2.2671816122,11738,37.8753984585,5.27,1.271
A0IV,32.3795543465,51556,157.9640655244,5.9,0.114
A0V,-72.9105036581,98495,300.1481384056,3.97,-0.032
G0Ib,11.2732059521,96481,294.2185519719,5.98,0.881
A3IV,4.8347954636,94727,289.1292984475,5.59,0.101
F7V,-22.4483821664,27072,86.1157933939,3.59,0.481
F6V,15.6616168832,78072,239.1132615343,3.85,0.478
G8IV,34.4739675768,34267,106.5482976518,5.55,0.909
B8Vn,27.2605070614,13209,42.4959681206,3.61,-0.1
B0Ia,-44.0453148293,81122,248.5209194784,4.86,0.045
B1.5IV,50.920932975,20234,65.0479697977,5.55,-0.031
