星官,Bayer 編號,DEJ2000 (度),Flamsteed,HIP,RAJ2000 (度),Star 1,Star 2,Vmag (視星等),序號,星點,英文星名
孔雀,,-64.871259,,92024,281.362088,,,4.78000021,3146,孔雀增一,
天門,,-15.363012,75 Vir,66091,203.215174,75 Vir室女,75 Vir,5.519999981,832,天門增六,
參旗,,17.153677,,23043,74.343086,,,5.510000229,2427,參旗增二,
八穀,,55.320858,,28385,89.940943,,,6.420000076,279,八穀增五,
天市左垣,,21.425142,112 Her,92614,283.068451,112 Her武仙,112 Her,5.43,656,五 齊,
明堂,τ Leo,2.856265,84 Leo,55945,171.984333,"84,τ Leo獅子","84,τ Leo",4.95,510,明堂一,
內平,,28.682479,24 LMi,50316,154.117011,24 LMi小獅,24 LMi,6.460000038,3034,內平增十一,
七公,μ CrB,39.010067,6 CrB,76307,233.812161,"6,μ CrB北冕","6,μ CrB",5.139999866,774,七公增八,
五車,,42.981635,39 Aur,28823,91.264102,39 Aur御夫,39 Aur,5.900000095,2357,五車增十一,
天紀,,26.91688,39 Her,81729,250.402913,39 Her武仙,39 Her,5.920000076,726,天紀增七,
孫,θ Col,-37.25292,,29034,91.881803,θ Col天鴿,θ Col,5,2739,孫二,
女床,ρ Her,37.145946,75 Her,85112,260.920603,"75,ρ Her武仙","75,ρ Her",4.15,737,女床三,
天狼,ι CMa,-17.054242,20 CMa,33347,104.03427,"20,ι CMa大犬","20,ι CMa",4.360000134,2731,天狼增五,
輦道,η Lyr,39.145968,20 Lyr,94481,288.439531,"20,η Lyr天琴","20,η Lyr",4.43,1314,輦道二,
礪石,φ Tau,27.350754,52 Tau,20250,65.088399,"52,φ Tau金牛","52,φ Tau",4.97,2230,礪石四,
左旗,,16.789163,11 Sge,98234,299.439357,11 Sge天箭,11 Sge,5.54,1262,左旗七,
尾宿,Q Sco,-38.635308,,86170,264.136804,Q Sco天蠍,Q Sco,4.260000229,1069,尾宿增三,
王良,,64.196169,10 Cas,531,1.610583,10 Cas仙后,10 Cas,5.570000172,1925,王良增二,
外廚,,0.362622,,42119,128.789038,,,6.94,2839,外廚六*,
長垣,,6.373183,,52660,161.523669,,,6.380000114,497,長垣增八,
奎宿,τ Psc,30.089638,83 Psc,5586,17.915153,"83,τ Psc雙魚","83,τ Psc",4.51,1890,奎宿十一,
奎宿,h Psc,28.992217,68 Psc,4510,14.458966,"68,h Psc雙魚","68,h Psc",5.440000057,1906,奎宿增十一,
三師,,69.040717,,49193,150.608174,,,8.17,264,三師二*,
天社,γ Vel,-47.336588,,39953,122.383126,γ Vel船帆,γ Vel,1.75,2867,天社一,Regor
亢池,,16.306948,20 Boo,70027,214.93848,20 Boo牧夫,20 Boo,4.84,962,亢池一,
天床,,71.966155,6 UMi,72181,221.462962,6 UMi小熊,6 UMi,7.52,64,天床六,
小斗,θ Cha,-77.484477,,40888,125.160585,θ Cha堰蜓,θ Cha,4.34,3244,小斗八,
四瀆,,10.951817,,34033,105.908633,,,5.14,2691,四瀆一,
南極星,σ Oct,-88.956499,,104382,317.19519,σ Oct南極,σ Oct,5.45,3247,南極星,
車府,,46.155773,60 Cyg,103732,315.295532,60 Cyg天鵝,60 Cyg,5.380000114,1595,車府增二,
天關,,16.700161,113 Tau,25410,81.523844,113 Tau金牛,113 Tau,6.230000019,2386,天關增一,
造父,ζ Cep,58.201261,21 Cep,109492,332.713653,"21,ζ Cep仙王","21,ζ Cep",3.39,1615,造父二,
內階,ο UMa,60.718169,1 UMa,41704,127.566125,"1,ο UMa大熊","1,ο UMa",3.35,247,內階一,Muscida
柱,υ1 Cen,-44.803584,,68282,209.669785,υ1 Cen半人馬,υ1 Cen,3.87,856,柱二,
海石,ε Car,-59.509483,,41037,125.628482,ε Car船底,ε Car,1.86,3217,海石一,Avior
天船,b Per,50.295502,,20070,64.560908,b Per英仙,b Per,4.599999905,2148,天船增十,
天乳,A2 Ser,-1.804193,25 Ser,77227,236.523488,"25,A2 Ser巨蛇","25,A2 Ser",5.389999866,980,天乳增一,
天紀,,29.806538,50 Her,82422,252.662327,50 Her武仙,50 Her,5.730000019,728,天紀增九,
小斗,γ Cha,-78.607786,,51839,158.867109,γ Cha堰蜓,γ Cha,4.11,3239,小斗三,
天牢,,43.482703,56 UMa,55560,170.706601,56 UMa大熊,56 UMa,4.99,207,天牢六,
鬼宿,A2 Cnc,12.109952,50 Cnc,43121,131.733409,"50,A2 Cnc巨蟹","50,A2 Cnc",5.889999866,2800,鬼宿增七,
庫樓,d Cen,-39.407307,,65936,202.761069,d Cen半人馬,d Cen,3.9,848,庫樓五,
婁宿,,17.412696,,8271,26.647082,,,6.550000191,1989,婁宿增二,
九斿,S Eri,-12.537416,64 Eri,23231,74.982238,"64,S Eri波江","64,S Eri",4.78,2442,九斿五,
星宿,,-7.109827,21 Hya,45184,138.108513,21 Hya長蛇,21 Hya,6.099999905,2918,星宿增五,
靈台,,-1.333259,66 Leo,54515,167.306912,66 Leo獅子,66 Leo,6.820000172,507,靈台增六,
左旗,δ Sge,18.534286,7 Sge,97365,296.846927,"7,δ Sge天箭","7,δ Sge",3.68,1258,左旗三,
天節,b Tau,13.047602,79 Tau,20901,67.209017,"79,b Tau金牛","79,b Tau",5.02,2395,天節四,
婁宿,,25.935471,10 Ari,9621,30.913933,10 Ari白羊,10 Ari,5.639999866,1994,婁宿增七,
螣蛇,,46.072272,22 And,841,2.580191,22 And仙女,22 And,5.010000229,1714,螣蛇增十九,
軒轅,λ Leo,22.967971,4 Leo,46750,142.930117,"4,λ Leo獅子","4,λ Leo",4.32,2951,軒轅八,Alterf
心宿,ο Sco,-24.16932,19 Sco,80079,245.159086,"19,ο Sco天蠍","19,ο Sco",4.550000191,1047,心宿增三,
內屏,ω Vir,8.134299,1 Vir,56779,174.615032,"1,ω Vir室女","1,ω Vir",5.239999771,388,內屏增一,
螣蛇,κ And,44.333932,19 And,116805,355.102117,"19,κ And仙女","19,κ And",4.15,1694,螣蛇廿一,
閣道,ε Cas,63.670102,45 Cas,8886,28.598856,"45,ε Cas仙后","45,ε Cas",3.35,1942,閣道二,
虛宿,,-3.398357,20 Aqr,105729,321.215312,20 Aqr寶瓶,20 Aqr,6.380000114,1472,虛宿增八,
九州殊口,A Eri,-10.256283,39 Eri,19777,63.598703,"39,A Eri波江","39,A Eri",4.87,2400,九州殊口一,
天苑,τ6 Eri,-23.249723,27 Eri,17651,56.712031,"27,τ6 Eri波江","27,τ6 Eri",4.22,2265,天苑十三,
車府,f2 Cyg,47.648404,63 Cyg,104194,316.650391,"63,f2 Cyg天鵝","63,f2 Cyg",4.559999943,1596,車府增三,
鬼宿,,14.711396,,44838,137.034968,,,7.349999905,2810,鬼宿增十七,
鬼宿,ο2 Cnc,15.581281,63 Cnc,44001,134.396666,"63,ο2 Cnc巨蟹","63,ο2 Cnc",5.679999828,2804,鬼宿增十一,
鬼宿,A1 Cnc,12.680876,45 Cnc,42795,130.801372,"45,A1 Cnc巨蟹","45,A1 Cnc",5.619999886,2799,鬼宿增六,
勾陳,,87.020091,,37391,115.127047,,,5.050000191,23,勾陳增四,
女宿,ε Aqr,-9.495776,2 Aqr,102618,311.918964,"2,ε Aqr寶瓶","2,ε Aqr",3.78,1339,女宿一,Albali
勾陳,,87.307504,,115746,351.753642,,,5.559999943,21,勾陳增二,
天鉤,,62.279814,19 Cep,109017,331.286621,19 Cep仙王,19 Cep,5.070000172,1650,天鉤增十八,
杠,,72.818252,,12273,39.508463,,,5.170000076,104,杠增一,
文昌,SY UMa,49.819843,31 UMa,48682,148.929177,"31,SY UMa大熊","31,SY UMa",5.269999981,245,文昌增七,
火鳥,ε Phe,-45.747426,,765,2.352675,ε Phe鳳凰,ε Phe,3.88,3196,火鳥四,
狗,χ3 Sgr,-23.962457,49 Sgr,95503,291.373583,"49,χ3 Sgr人馬","49,χ3 Sgr",5.449999809,1168,狗增四,
女宿,μ Aqr,-8.983318,6 Aqr,103045,313.163473,"6,μ Aqr寶瓶","6,μ Aqr",4.73,1340,女宿二,
天門,,-19.930947,55 Vir,64577,198.545396,55 Vir室女,55 Vir,5.309999943,828,天門增二,
九卿,,13.553018,28 Com,62478,192.05973,28 Com后髮,28 Com,6.46999979,374,九卿增三,
斗宿,,-17.156868,6 Sgr,88258,270.346339,6 Sgr人馬,6 Sgr,6.269999981,1110,斗宿增一,
天籥,,-24.282468,7 Sgr,88380,270.71291,7 Sgr人馬,7 Sgr,5.369999886,1126,天籥增四,
羽林軍,,-10.905561,58 Aqr,111200,337.922168,58 Aqr寶瓶,58 Aqr,6.39,1769,羽林軍十九,
瓠瓜,,12.545128,15 Del,102805,312.407367,15 Del海豚,15 Del,6.010000229,1367,瓠瓜增二,
司危,β Equ,6.81114,10 Equ,105570,320.723386,"10,β Equ小馬","10,β Equ",5.16,1479,司危一,
井宿,,28.970932,28 Gem,32311,101.189412,28 Gem雙子,28 Gem,5.420000076,2596,井宿增四,
杵,σ Ara,-46.505684,,86092,263.914958,σ Ara天壇,σ Ara,4.56,1100,杵一,
天關,,15.822497,129 Tau,27265,86.68957,129 Tau金牛,129 Tau,6,2389,天關增四,
少微,,23.323762,64 Leo,54388,166.915438,64 Leo獅子,64 Leo,6.480000019,483,少微增七,
八穀,,61.515286,1 Lyn,29919,94.478418,1 Lyn天貓,1 Lyn,5.010000229,295,八穀增廿一,
外屏,,1.366846,26 Cet,4979,15.954284,26 Cet鯨魚,26 Cet,6.059999943,1968,外屏增十,
常陳,,38.498981,17 CVn,64246,197.513399,17 CVn獵犬,17 CVn,5.909999847,451,常陳增六,
雲雨,,2.102222,16 Psc,116495,354.097025,16 Psc雙魚,16 Psc,5.679999828,1875,雲雨增六,
天紀,,35.414049,61 Her,83462,255.875896,61 Her武仙,61 Her,6.19,715,天紀五,
軒轅,,19.470914,40 Leo,50564,154.934033,40 Leo獅子,40 Leo,4.78000021,2992,軒轅增卅二,
內平,,35.335957,,47436,144.99085,,,6.900000095,3031,內平增八,
天津,,38.742054,61B Cyg,104217,316.730268,61B Cyg天鵝,61B Cyg,6.050000191,1411,天津增廿九,
天苑,ρ1 Eri,-7.663012,8 Eri,14060,45.291767,"8,ρ1 Eri波江","8,ρ1 Eri",5.75,2278,天苑增十,
郎位,,26.825699,16 Com,60746,186.747069,16 Com后髮,16 Com,4.98,424,郎位四,
相,,51.562257,5 CVn,60485,186.006228,5 CVn獵犬,5 CVn,4.76,190,相,
軒轅,,19.470914,40 Leo,50564,154.934033,40 Leo獅子,40 Leo,4.78000021,2993,軒轅增卅三,
鬼宿,,12.654612,27 Cnc,41400,126.683081,27 Cnc巨蟹,27 Cnc,5.559999943,2798,鬼宿增五,
天市右垣,,9.135118,,76319,233.837561,,,8.130000114,642,秦增一,
王良,κ Cas,62.931783,15 Cas,2599,8.249965,"15,κ Cas仙后","15,κ Cas",4.17,1920,王良二,
瓠瓜,,21.201174,29 Vul,101867,309.630579,29 Vul狐狸,29 Vul,4.809999943,1370,瓠瓜增五,
貫索,ι CrB,29.851061,14 CrB,78493,240.360687,"14,ι CrB北冕","14,ι CrB",4.98,745,貫索八,
參宿,ψ1 Ori,1.846445,25 Ori,25302,81.186777,"25,ψ1 Ori獵戶","25,ψ1 Ori",4.889999866,2518,參宿增六,
紫微右垣,d UMa,69.830343,24 UMa,46977,143.620249,"24,d UMa大熊","24,d UMa",4.54,108,四 少輔,
三角形,γ TrA,-68.679545,,74946,229.727426,γ TrA南三角,γ TrA,2.87,3119,三角形一,
三台,,41.055634,19 LMi,48833,149.421059,19 LMi小獅,19 LMi,5.110000134,467,中台增二,
天津,,36.454729,42 Cyg,101067,307.33496,42 Cyg天鵝,42 Cyg,5.900000095,1394,天津增十二,
五帝內座,,79.418535,,14417,46.532675,,,5.49,80,五帝內座一,
天鉤,,62.785671,20 Cep,109005,331.252074,20 Cep仙王,20 Cep,5.269999981,1649,天鉤增十七,
大陵,κ Per,44.857544,27 Per,14668,47.374048,"27,κ Per英仙","27,κ Per",3.79,2103,大陵四,
井宿,e Gem,13.177827,38 Gem,33202,103.660983,"38,e Gem雙子","38,e Gem",4.730000019,2605,井宿增十三,
天溷,φ2 Cet,-10.644326,19 Cet,3909,12.531629,"19,φ2 Cet鯨魚","19,φ2 Cet",5.170000076,1983,天溷增六,
鈇鉞,A2 Aqr,-17.816533,104 Aqr,116901,355.440858,"104,A2 Aqr寶瓶","104,A2 Aqr",4.820000172,1803,鈇鉞增三,
泣,,-6.522406,30 Aqr,108868,330.818581,30 Aqr寶瓶,30 Aqr,5.550000191,1494,泣增一,
井宿,λ Gem,16.540383,54 Gem,35350,109.523245,"54,λ Gem雙子","54,λ Gem",3.58,2592,井宿八,
郎位,,26.098606,13 Com,60514,186.077176,13 Com后髮,13 Com,5.17,426,郎位六,
天壘城,ξ Aqr,-7.854202,23 Aqr,106786,324.437956,"23,ξ Aqr寶瓶","23,ξ Aqr",4.68,1502,天壘城一,
斛,i Her,8.582616,43 Her,82073,251.45788,"43,i Her武仙","43,i Her",5.15,559,斛四,
扶筐,,64.397287,36 Dra,89348,273.474305,36 Dra天龍,36 Dra,4.989999771,1441,扶筐增一,
西咸,η Lib,-15.672834,44 Lib,77060,236.018331,"44,η Lib天秤","44,η Lib",5.41,1028,西咸四,
三台,κ UMa,47.156525,12 UMa,44471,135.906361,"12,κ UMa大熊","12,κ UMa",3.57,454,上台二,
土公,,6.955463,51 Psc,2548,8.099091,51 Psc雙魚,51 Psc,5.690000057,1846,土公增六,
鬼宿,,15.350651,54 Cnc,43454,132.756088,54 Cnc巨蟹,54 Cnc,6.360000134,2801,鬼宿增八,
八穀,,56.757183,4 Cam,22287,72.001138,4 Cam鹿豹,4 Cam,5.289999962,275,八穀增一,
